"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C26,C28,C29,C30,C33,C34,C38,C40,C41,C42,C45,C46,C50,C52,C53,C54,C57,C58,C62,C64,C65,C66,C69,C70","10uF","~","Capacitor_SMD:C_0805_2012Metric","25",""
"C2,C3,C4,C5,C6,C7,C12,C13,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C27,C31,C32,C35,C36,C37,C39,C43,C44,C47,C48,C49,C51,C59,C60,C61,C63,C71,C72","100nF","~","Capacitor_SMD:C_0402_1005Metric","37",""
"C8","10nF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C9,C10,C11,C55,C56","1uF","~","Capacitor_SMD:C_0402_1005Metric","5",""
"C14,C15","10pF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"D1","LED","~","Photodiode:SOD6439X180N","1",""
"FB1","120R","~","Inductor_SMD:L_0402_1005Metric","1",""
"IC1","TXU0202QDCUR","https://www.ti.com/lit/ds/symlink/txu0202-q1.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1679392613568&ref_url=https%253A%252F%252Fwww.mouser.fr%252F","TXU0202:SOP50P310X90-8N","1",""
"IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9","DRV8220DSGR","https://www.ti.com/lit/gpn/drv8220","DRV8220DSGR:WSON8_DSG_TEX","8",""
"J2,J4","Conn_01x04_Pin","~","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical_SMD_Pin1Left","2",""
"J3","Conn_01x06_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left","1",""
"J5,J6,J7,J8,J9,J10","Conn_02x05_Odd_Even","~","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical_SMD","6",""
"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16","10uH","~","Inductor_SMD:L_1008_2520Metric","16",""
"Q1","PMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","PMOS:SOT95P240X120-3N","1",""
"Q2","NMOS","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","NMOS:SOT95P240X120-3N","1",""
"R1,R2,R3,R4,R5,R14,R15,R16,R17,R18,R19,R20,R21,R22,R25,R26,R29,R30,R33,R34","1k","~","Resistor_SMD:R_0402_1005Metric","20",""
"R6,R7,R9,R10","10k","~","Resistor_SMD:R_0402_1005Metric","4",""
"R8","47k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R11,R12","100k","~","Resistor_SMD:R_0402_1005Metric","2",""
"R13","1M","~","Resistor_SMD:R_0805_2012Metric","1",""
"R23,R24,R27,R28,R31,R32,R35,R36","1","~","Resistor_SMD:R_0612_1632Metric","8",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_SPST_TL3305B","1",""
"SW2","SW_SPDT","~","Button_Switch_SMD:SW_SPDT_PCM12","1",""
"U1","STM32G484METx","https://www.st.com/resource/en/datasheet/stm32g484me.pdf","Package_QFP:LQFP-80_12x12mm_P0.5mm","1",""
"U2,U3,U4,U5,U6,U7,U8,U9","SN74LVC002","http://www.ti.com/lit/gpn/sn74hc02","Package_DFN_QFN:DHVQFN-14-1EP_2.5x3mm_P0.5mm_EP1x1.5mm","8",""
"U10","TPS7A0533PDBZ","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"Y1","16MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1",""
